GameName,DummyRegressor-MaterialPos,DummyRegressor-InfluencePos,DummyRegressor-SidesProximityPos,DummyRegressor-LineCompletionHeuristicNeg,DummyRegressor-NullHeuristicPos,DummyRegressor-LineCompletionHeuristicPos,DummyRegressor-CornerProximityNeg,DummyRegressor-MobilitySimpleNeg,DummyRegressor-CentreProximityNeg,DummyRegressor-InfluenceNeg,DummyRegressor-MaterialNeg,DummyRegressor-CornerProximityPos,DummyRegressor-MobilitySimplePos,DummyRegressor-CentreProximityPos,DummyRegressor-SidesProximityNeg,DummyRegressor-RegionProximityNeg,DummyRegressor-RegionProximityPos,DummyRegressor-ScorePos,DummyRegressor-ScoreNeg,DummyRegressor-PlayerRegionsProximityNeg,DummyRegressor-PlayerRegionsProximityPos,DummyRegressor-PlayerSiteMapCountPos,DummyRegressor-PlayerSiteMapCountNeg,DummyRegressor-OwnRegionsCountPos,DummyRegressor-OwnRegionsCountNeg,DummyRegressor-ComponentValuesPos,DummyRegressor-ComponentValuesNeg,Average
Ako_Okwe_Murray,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Aw-li_On-nam_Ot-tjin_Two_Counters,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Aw-li_On-nam_Ot-tjin_Four_Counters,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Aw-li_On-nam_Ot-tjin_Five_Counters,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Dabuda_Damohoita,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Mangala_Turkey_Six_Holes,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
Ako_Okwe_Umuahia,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
XII_Scripta_Murray,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
20_Squares_Seleucid,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
58_Holes_Carnarvon_and_Carter,62.09081283503199,57.58767550884272,56.36441432150925,44.27814102610711,48.51593242855396,54.858498988759585,40.916417927925416,43.58302122679038,44.58706984187438,44.69983189731618,39.88062532848997,57.2660557451999,57.75097345441284,54.53256979152956,43.86078499748705,47.60315464507082,53.070770725129755,49.83241623085529,47.390874127060364,49.501555410093964,50.01021333927035,49.99240586652279,47.85776683107423,50.352631844267655,47.655233403945715,48.68239816446869,48.394837543106235,49.111111111111114,
