RulesetName,SpectralClustering_3
Ploy_Default,0
Dai_Hasami_Shogi_Wikipedia,0
Fox_and_Geese_Thirteen_Geese_Murray,0
Castello_Default,0
Press_Ups_Default,0
Kharbaga_Mauritania,0
Camelot_Default,0
Salta_Default,0
Tic-Tac-Four_Default,0
Ataxx_Default,0
Yovodji_Beart,1
Woli_Beart,1
Kapana_Bona_Gourounsi,1
Oure_Ngat_Senegal,1
Wore_Beart,1
Kanji_Guti_Kanji_Guti,1
Vai_Lung_Thlan_Lushei_Kuki,1
Unnee_Tugalluulax_Mancala_World,1
Waurie_Waurie,1
Atari_Go_Default,0
Conspirateurs_Default,0
Feed_the_Ducks_Default,0
HexDame_Default,0
Manalath_Default,0
Odd_Default,0
Omega_Default,0
Pentalath_Default,0
Quantum_Leap_Default,0
Spline_Default,0
Susan_Default,0
Yavalade_Default,0
Yavalanchor_Default,0
Manzhouqi_Xu_Ke,0
Chess_Puzzle_Default,0
Shogi_Puzzle_Default,0
Maharajah_Chess_Default,0
Amazon_Chess_Default,0
Safe_Passage_Default,0
Horde_Chess_Default,0
Loop_Chess_Default,0
Los_Alamos_Chess_Default,0
Minishogi_Default,0
Taikyoku_Shogi_Default,0
Janggi_Standard,0
Chameleon_Default,0
Gonnect_Default,0
Kaooa_Central_India,0
EinStein_Wurfelt_Nicht_Default,0
Dice_Shogi_Default,0
Domineering_Default,0
Hyvn_aetter_Hare_Hyvn_aetter_Hare,0
Senet_Bell,2
Ludus_Latrunculorum_Schadler,0
Ludus_Latrunculorum_Museum_Quintana,0
Ludus_Latrunculorum_Falkener,0
Ludus_Latrunculorum_Kowalski_10x11,0
Ludus_Latrunculorum_Kowalski_8x12,0
Ludus_Latrunculorum_Bell_8x7,0
Ludus_Latrunculorum_Bell_8x8,0
Mehen_Kendall,2
Trax_Default,0
Pushing_Me_XO_Default,0
Kensington_Default,0
Capture_the_Queen_Default,0
Lotus_Default,0
Social_Distance_Chess_Default,0
Triad_Default,0
Three-Player_Hex_Default,0
Mogul_Putthan_Nineteen_Pieces,0
Hewakam_Keliya_Sri_Lanka,0
Mu_Torere_Simple,0
Jekab_Jekab,0
Achi_Murray,0
Five_Mens_Morris_Murray,0
Round_Merels_Blumlein,0
Six_Mens_Morris_Murray,0
Twelve_Mens_Morris_Board_Game_Geek,0
Ho-Bag_Gonu_Default,0
Ja-Jeon-Geo-Gonu_Default,0
Kolowis_Awithlaknannai_Kolowis,0
Brandub_Nielsen,0
NoGo_Default,0
Felli_Board_Game_Geek,0
Picaria_Zaslavsky_1,0
Picaria_Zaslavsky_2,0
Seega_Sebawee,0
Seega_Tisawee,0
French_Military_Game_Gardner,0
Tablut_Smith,0
Boseog_Gonu_Default,0
Symbol_S.2_Default,0
Alquerque_Covarrubias,0
Alquerque_Murray,0
Cercar_La_Liebre_Murray,0
Komikan_MapuChess,0
Tic-Tac-Chess_Default,0
Portes_Default,2
Game_of_Solomon_Default,0
Hus_Damara_Wagner,1
Wagner_Default,0
Sim_Default,0
MaxMatch_Default,0
Two-Colour_Default,0
DisPath_Default,0
Kisolo_Starting_Position_1,1
Kisolo_Starting_Position_2,1
Oware_Awari,1
Clobber_Default,0
Ultimate_Tic-Tac-Toe_Default,0
Bagh_Guti_Karwi,0
Bagh_Guti_Murray,0
Bagh_Guti_Cyningstan,0
Santorini_Default,0
Unnee_Tugalluulax_Popova,1
Grande_Acedrex_Dice,0
Juroku_Musashi_Tsuboi,0
Royal_Game_of_Ur_Murray,2
Score_Four_Default,0
Les_Pendus_Five_in_a_Row,0
Ciri_Amber_Default,0
Flowers_Default,0
Onek_Rong_Default,0
Ringo_Default,0
Crossline_Default,0
Chomp_Default,0
Line_and_Cross_Default,0
Bizingo_Default,0
CrossGeo_Default,0
Cram_Default,0
Radran_Default,0
Ilpion_Default,0
OddEvenTree_Default,0
Hackenbush_Default,0
LastEdge_Default,0
Windir_Default,0
Nedilmarth_Default,0
Y_Default,0
Kints_Kints,2
Trike_Default,0
Fox_and_Geese_Seventeen_Geese,0
Yeung_Luk_Sz_Kon_Tseung_Kwan_Murray,0
Inkblots_Default,0
Tre_Guti_Tre_Guti,0
Sher_Bakar_Sher_Bakar,0
Baghchal_Baghachal,0
Bouge_Shodra_Bouge_Shodra,0
Tugul_Shodra_Tugul_Shodra,0
HeXentafl_Default,0
Bara_Guti_Bara_Guti,0
Musinaykahwhanmetowaywin_Musinaykahwhanmetowaywin,0
Ahtarah_Guti_Ahtarah_Guti,0
Sujjua_Sujjua,0
Doblet_Doblet,2
Los_Doze_Canes_Los_Doze_Canes,2
Quinze_Tablas_Quinze_Tablas,2
Emperador_Emperador,2
Medio_Emperador_Medio_Emperador,2
Pareia_de_Entrada_Pareia_de_Entrada,2
Cab_e_Quinal_Cab_e_Quinal,2
Cab_e_Quinal_Fixed_Die,2
Laquet_Laquet,2
Alquerque_de_Tres_Alquerque_de_Tres,0
Tablas_Astronomias_Tablas_Astronomias,2
Nerenchi_Keliya_Nerenchi_Keliya,0
Niranchy_Niranchy,0
Koti_Keliya_Koti_Keliya,0
Shatren_Shatren,0
Merimueng-rimueng_Merimueng-Rimueng,0
Meurimueng-rimueng_Peuet_Ploh_Merimueng-rimueng_Peuet_Ploh,0
At-Tab_wa-d-Dukk_at-Tab_wa-d-Dukk,2
Sig_Mzab_Sig_Mzab,2
Sig_Tozeur_Sig_Tozeur,2
Bagh_Batti_Bagh_Batti,0
Had_Had,2
Haretavl_Haretavl_Eleven_Points,0
Weiqi_Weiqi,0
Tuk_Tuk_Tuk_Tuk,0
Kharberg_Kharberg,0
Tauru_Tauru,0
Bolotudu_Bolotudu,0
Toki_Toki,0
Laram_Wali_Laram_Wali,0
Yote_Yote,0
Wure_Dune_Wure_Dune,0
Abak_Default,0
Pente_Grammai_Locos_Ludi_Race,2
Pente_Grammai_Locus_Ludi__Knock-Off_Mode,2
Shah_Shah,0
Koruboddo_Koruboddo,0
Djara-Badakh_Djara-Badakh,0
Kyoto_Shogi_Default,0
Guerrilla_Checkers_Default,0
Um_el_Tuweisat_Um_el_Tuweisat,1
Qi_Guo_Xiangxi_Qi_Guo_Xiangxi,0
Gala_Gala,0
Satoel_Satoel,0
Rimoe_Rimoe,0
Rimoe_Two_Rimoe,0
Siryu_War_Siryu_War,2
Natt_Klab_ash-Shawk_Natt_Klab_ash-Shawk,0
Ofanfelling_Ofanfelling,2
Refskak_Refskak,0
Mylna_Mylna,0
Currierspiel_Currierspiel,0
Patol_Patol,2
Patol_Captureless,2
Kawasukuts_Kawasukuts,2
Kawasukuts_Door_Hazard,2
Tsaydithl_Tsaydithl,2
Abrobad_Default,0
Wellisch_Chess_Default,0
Starchess_Default,0
Mini_Hexchess_Default,0
Glinski_Chess_Default,0
Brusky_Chess_Default,0
McCooey_Chess_Default,0
De_Vasa_Chess_Default,0
Shafran_Chess_Default,0
Hex_Amazons_Default,0
Main_Tapak_Empat_Main_Tapak_Empat,0
Main_Pacheh_Main_Pacheh,2
Dama_Philippines_Dama_Philippines,0
Moo_Moo,0
Jeu_de_Renard_Jeu_de_Renard,0
Jeu_de_Renard_Two_Foxes_Jeu_de_Renard_Two_Foxes,0
Damas_Damas,0
Dama_Italy_Dama_Italy,0
Pleasant_Draughts_Pleasant_Draughts,0
Shashki_Shashki,0
The_Babylonian_The_Babylonian,0
Diagonal_Draughts_Diagonal_Draughts,0
Maleys_Maleys,0
RootZone_Default,0
Unnamed_Dutch_Draughts_Game_Unnamed_Dutch_Draughts_Game,0
Coc-Inbert_Coc-Inbert,0
Sher_Bakr_Sher-Bakr,0
Bagh_Bandi_Bagh_Bandi,0
Ram_Tir_Ram_Tir,0
Pam_Pait_Pam_Pait,0
Bam_Blang_Beh_Khla_Bam_Blang_Beh_Khla,0
Tule_Paid_Tule_Paid,0
Mughal_Pathan_Mughal_Pathan,0
Kaua_Dorki_Kaua_Dorki,0
Challis_Ghutia_Challis_Gutia,0
Tuk_Tak_Tuk_Tak,0
Bara_Guti_Bihar_Bara_Guti_Bihar,0
Bagha_Guti_Bagha_Guti,0
Bis_Gutiya_Bis_Gutiya,0
Challis_Ghutia_Titagarh_Challis_Ghutia_Titagarh,0
Orissa_Tiger_Game_Four_Tigers_Orissa_Tiger_Game_Four_Tigers,0
Orissa_Tiger_Game_One_Tiger_Orissa_Tiger_Game_One_Tiger,0
Kulaochal_Kulaochal,0
Do_Guti_Do_Guti,0
Sat_Gol_Sat_Gol,1
Senet_Kendall,2
Senet_Kendall_Five_Pieces,2
Senet_Kendall_Starting_Throw,2
Senet_Kendall_Trap,2
Senet_Kendall_Home_Row,2
Senet_Kendall_Five_Pieces_Starting_Throw,2
Senet_Kendall_Five_Pieces_Trap,2
Senet_Kendall_Five_Pieces_Home_Row,2
Senet_Kendall_Starting_Throw_Trap,2
Senet_Kendall_Starting_Throw_Home_Row,2
Senet_Kendall_Trap_Home_Row,2
Senet_Kendall_Five_Pieces_Starting_Throw_Trap,2
Senet_Kendall_Starting_Throw_Trap_Home_Row,2
Senet_Kendall_Five_Pieces_Trap_Home_Row,2
Senet_Kendall_Five_Pieces_Starting_Throw_Home_Row,2
Senet_Kendall_All_Options,2
Senet_Piccione,2
Senet_Jequier,2
Pachgarhwa_Pachgarhwa,1
Nao_Guti_Nao_Guti,0
San-Noku-Narabe_San-Noku-Narabe,0
Nine_Holes_Nine_Holes,0
Epelle_Epelle,0
Six-Penny_Madell_Six-Penny_Madell,0
Tapatan_Tapatan,0
Liu_Tsi_Liu_Tsi,0
Akidada_Akidada,0
Fanorona_Telo_Fanorona_Telo,0
Driesticken_Driesticken,0
Sam_Ki_Sam_Ki,0
Oumoul_Kono_Oumoul_Kono,0
Triodi_Triodi,0
Triodi_Diagonal_Triodi_Diagonal,0
Marelle_Triple_Marelle_Triple,0
Lam_Pusri_Lam_Pusri,0
Tumbleweed_Default,0
Gale_Default,0
Sumi_Naga_Game_Hunt_Sumi_Naga_Game_Hunt,0
Sumi_Naga_Game_War_Sumi_Naga_Game_War,0
Terhuchu_Small_Terhuchu_Small,0
Terhuchu_Small_Eight_pieces,0
Kawade_Kelia_Kawade_Kelia,2
Gavalata_Gavalata,2
Rimau-Rimau_One_Tiger_Rimau-Rimau_One_Tiger,0
Rimau-Rimau_Two_Tigers_Rimau-Rimau_Two_Tigers,0
Rimau-Rimau_Two_Tigers_Tigers_on_Central_Point,0
Dam_Singapore_Dam_Singapore,0
Jeu_du_Renard_et_de_la_Poule_Jeu_du_Renard_et_de_la_Poule,0
Len_Cua_Kin_Ngoa_Len_Cua_Kin_Ngoa,0
Len_Doat_Len_Doat,2
Renard_et_les_Poules_Renard_et_les_Poules,0
Renard_et_les_Poules_Orthogonal_Fox,0
Renard_et_les_Poules_Orthogonal_Fox_Diagonal_Capture,0
Diagonal_Hex_Default,0
Broken_Line_Default,0
Chungcajon_Chungcajon,1
Temeen_Tavag_Temeen_Tavag,0
Temeen_Tavag_Dorvon_Bux,0
Dorvon_Cag_Dorvon_Cag,0
Gurvan_Xudag_Gurvan_Xudag,0
Phase_Chess_Default,0
Breakthrough_Chess_Default,0
Breakthrough_Checkers_Default,0
Ultimate_Chess_Default,0
Uxrijn_Ever_Uxrijn_Ever,0
Neg_Tugal_Tuux_Neg_Tugal_Tuux,0
Gauntlet_Default,0
Engijn_Zirge_Engijn_Zirge,0
Altan_Xaraacaj_Altan_Xaraacaj,0
Xonin_Shatar_Simple_Xonin_Shatar,0
Xonin_Shatar_Complex_Xonin_Shatar_Complex,0
Gurgaldaj_Gurgaldaj,0
Xanan_Zirge_Xanan_Zirge,0
Jeson_Zam_Jeson_Zam,0
Tavan_Tal_Tavan_Tal,0
Zurgaan_Tal_Zurgaan_Tal,0
One-Eyed_Go_Default,0
Aralzaa_Aralzaa,0
Jeson_Mor_Jeson_Mor,0
Bajr_Bajr_Small,0
Bajr_Bajr_Medium,0
Bajr_Bajr_Large,0
Toono_Toono,0
Boxijn_Barildaan_Boxijn_Barildaan,0
Xarajlt_Xarajlt,0
Buudal_Buudal,0
Doov_Doov,0
Dorvolz_Dorvolz,0
Patok_Patok,0
Crossway_Default,0
Main_Dam_Main_Dam,0
Mankala_Mankala,1
Dris_at-Talata_Dris_at-Talata,0
Frangieh_Frangieh,2
Yahoudieh_Yahoudieh,2
Ethiopian_Capture_Game_Ethiopian_Capture_Game,0
Vela_Vela,0
Choko_Choko,0
Janes_Soppi_Janes_Soppi,0
Janes_Soppi_Alignment_Janes_Soppi_Alignment,0
Wolf_und_Schaaf_Wolf_und_Schaaf,0
Kiz_Tavlasi_Kiz_Tavlasi,2
Hund_efter_Hare_Thy_Hund_efter_Hare_Thy,0
Hund_efter_Hare_Vendsyssel_Hund_efter_Hare_Vendsyssel,0
Gasetavl_Gasetavl,0
Gasetavl_Gedved_Gasetavl_Gedved,0
Dam_Hariman_Dam_Hariman,0
Gala_Buginese_Gala_Buginese,0
Mao_Naga_Tiger_Game_Mao_Naga_Tiger_Game,0
Esa_Hex_Default,0
Upper_Hand_Default,0
Bison_Default,0
Oust_Default,0
Manu_Manu,0
Baralie_Baralie,2
Imperial_Imperial,2
Myles_Myles,2
Provincial_Provincial,2
Ludus_Anglicorum_Ludus_Anglicorum,2
Ludus_Lombardorum_Ludus_Lombardorum,2
Jacquet_de_Versailles_Jacquet_de_Versailles,2
Jacquet_Jacquet,2
Garanguet_Garanguet,2
Panchi_Panchi,2
Thaayam_Thaayam,2
Mysore_Tiger_Game_Mysore_Tiger_Game,0
Mysore_Tiger_Game_Three_Tigers_Mysore_Tiger_Game_Three_Tigers,0
Mysore_Tiger_Game_Two_Tigers_Mysore_Tiger_Game_Two_Tigers,0
Padaivettu_Padaivettu,0
Fang_Fang,0
Huli-Mane_Ata_Huli-Mane_Ata,0
Pulijudamu_Pulijudamu,0
Infuse_Default,0
Bravalath_Default,0
Tic-Tac-Die_Default,0
Triple_Tangle_Default,0
Dice_Chess_Default,0
Refugia_Default,0
Fibonacci_Nim_Default,0
Hops-a-Daisy_Generalized_Default,0
Kings_Valley_Default,0
Order_and_Chaos_Default,0
Gioco_dellOrso_Gioco_dellOrso,0
Tic-Tac-Toe_Misere_Default,0
Residuel_Default,0
Ex_Nihilo_Default,0
Suffragetto_Default,0
Boukerourou_Boukerourou,1
Uturu_Uturu_Kaida_Uturu_Uturu_Kaida,2
Nama_Nama,2
Tama_Wikipedia,0
Omnidirectional_Draughts_Default,0
Uril_Uril,1
Callanish_Default,0
Tap_Urdy_Tap_Urdy,1
Throngs_Default,0
Unlur_Default,0
Nuktagaq_Nuktagaq,0
Dablot_Prejjesne_Dablot_Prejjesne,0
Three_Musketeers_Default,0
Damenspiel_Damenspiel,0
Damspel_Damspel,0
Leap_Frog_Default,0
Katro_Katro,1
Dodgem_Default,0
Isolation_Default,0
Cage_Default,0
DuploHex_Default,0
Andot_Andot,1
Mlabalaba_Mlabalaba,0
Zola_Default,0
Tsoro_Tsoro,1
Misoro_Tsoro_Misoro_Tsoro,1
Misoro_Tsoro_Additional_Capture_Misoro_Tsoro_Additional_Capture,1
Misoro_Tsoro_Extra_Counters,1
Misoro_Tsoro_Additional_Capture_Extra_Counters,1
Musoro_Tsoro_Musoro_Tsoro,1
Tsoro_Additional_Capture_Tsoro_Additional_Capture,1
Tsoro_Reentered_Captures_Tsoro_Reentered_Captures,1
Chaturanga_Elephant_Diagonal_Jump,0
Chaturanga_Elephant_Diagonal_Move,0
Adidada_Adidada,1
Duene_Duene,1
Yovodi_Yovodi,1
Greater_Default,0
Greatest_Loss_Default,0
Level_Chess_Default,0
Msuwa_Msuwa,1
Msuwa_wa_Kunja_Msuwa_wa_Kunja,1
Sute_Sute,1
Goats_Wintering_Default,0
Greater_Loss_Default,0
Greater_Even_Loss_Default,0
Nzengue_Small_Nzengue_Small,0
Kisolo_Lali_Kisolo_Lali,1
Ngolo_Ngolo,1
Asalto_Asalto,0
Crand_Crand,0
HexTrike_Default,0
Master_Y_Default,0
Coil_Default,0
3D_Tic-Tac-Toe_Default,0
I_I,1
Spartan_Chess_Default,0
Tabu_Y_Default,0
American_Pool_Checkers_American_Pool_Checkers,0
Fivalath_Default,0
Unfair_Default,0
Pippinzip_Default,0
Pippinzip_Zipline_variant_Default,0
Pente_Default,0
Keryo-Pente_Default,0
Tsatsarandi_Tsatsarandi,0
Dig_Dig_Dig_Dig,0
Six_Insect_Game_Six_Insect_Game,0
Mini_Wars_Default,1
BlooGo_Default,0
MacBeth_Default,0
Triodi_Chios_Triodi_Chios,0
Tai_Shogi_Wikipedia,0
Breakback_Default,0
La_Liebre_Perseguida_La_Liebre_Perseguida,0
Flume_Default,0
Bamboo_Default,0
Gopher_Default,0
Pathway_Default,0
Marelle_Quadruple_Marelle_Quadruple,0
Mity_Default,0
Omny_Default,0
Faraday_Default,0
Claustro_Default,0
Shobu_Default,0
Agilidade_Default,0
Quarto_Default,0
Breakthru_Default,0
Goldilocks_Stones_Default,0
Quoridor_Default,0
Quixo_Default,0
Quantik_Default,0
Pylos_Default,0
Squadro_Default,0
