RulesetName,MaterialPos,InfluencePos,SidesProximityPos,LineCompletionHeuristicNeg,NullHeuristicPos,LineCompletionHeuristicPos,CornerProximityNeg,MobilitySimpleNeg,CentreProximityNeg,InfluenceNeg,MaterialNeg,CornerProximityPos,MobilitySimplePos,CentreProximityPos,SidesProximityNeg,RegionProximityNeg,RegionProximityPos,ScorePos,ScoreNeg,PlayerRegionsProximityNeg,PlayerRegionsProximityPos,PlayerSiteMapCountPos,PlayerSiteMapCountNeg,OwnRegionsCountPos,OwnRegionsCountNeg,ComponentValuesPos,ComponentValuesNeg
Ako_Okwe_Murray,57.8947368421053,78.0434782608696,53.8888888888889,48.8235294117647,46.4285714285714,50.2272727272727,44.7619047619048,26.5217391304348,58.5,24.4117647058823,50.75,53.5,84.4117647058824,42.3809523809524,41.3888888888889,45,53.5294117647059,48.0434782608696,44.2,54.1176470588235,55,88.125,5.8,97.6190476190476,38.1578947368421,46.4285714285714,46.4285714285714
Aw-li_On-nam_Ot-tjin_Two_Counters,47.2,68.421052631579,52.3809523809524,47.5,51.75,56.6666666666667,48.6842105263158,48.125,46.4285714285714,44.4117647058824,45.7142857142857,45.2083333333333,66.25,44.5454545454546,46.1904761904762,51.5909090909091,48.4782608695652,45,52.3809523809524,49.25,46.0416666666667,55.5,38.5294117647059,53.3333333333333,68.8235294117647,51.75,51.75
Aw-li_On-nam_Ot-tjin_Four_Counters,43.421052631579,94.7368421052632,52.5,48.9473684210526,45.2631578947368,39.5454545454545,48.0952380952381,45.7142857142857,46,43.8095238095238,43.3333333333333,40,91.6666666666667,45,43.75,48.0555555555556,53.75,40,37.3333333333333,47.0833333333333,50,57.3913043478261,43.695652173913,99.5238095238095,21.5909090909091,45.2631578947368,45.2631578947368
Aw-li_On-nam_Ot-tjin_Five_Counters,50,90.5,40,41.7647058823529,48.125,40,50,43.25,44.6153846153846,45.4166666666667,43,49.5454545454546,83.8888888888889,49.4444444444444,44.375,48.9473684210526,47.75,46.4,40.8695652173913,56.3636363636364,48.421052631579,61.7391304347826,40,96.8421052631579,25.4545454545455,48.125,48.125
Dabuda_Damohoita,47.1052631578947,62.5,44.7368421052632,52.0588235294118,46.3333333333333,53.6538461538462,49.7368421052632,32.6086956521739,52.2916666666667,27.8571428571429,45.9375,55,63.75,52.6666666666667,48.25,47.5,55.2173913043478,54.3478260869565,58.0555555555556,49.0476190476191,49.4736842105263,46.3333333333333,46.3333333333333,85.8823529411765,39.25,46.3333333333333,46.3333333333333
Mangala_Turkey_Six_Holes,50.5263157894737,84.2105263157895,49.4736842105263,52.3684210526316,45.7142857142857,59.375,43.75,27.0454545454545,54.0909090909091,27.6315789473684,52.25,45.5555555555556,75.2777777777778,49.1304347826087,47.5,55.952380952381,48.25,49.2105263157895,44.6875,57.0833333333333,51.9565217391304,45.7142857142857,45.7142857142857,46.4285714285714,40.2272727272727,45.7142857142857,45.7142857142857
Ako_Okwe_Umuahia,46.5789473684211,85.4761904761905,56.5,47.25,51.0416666666667,53.6842105263158,40.3333333333333,25.7142857142857,56.3888888888889,25.4545454545455,48.3333333333333,45.5555555555556,82.5,45.5263157894737,45.2631578947368,51.7391304347826,51.8421052631579,61.25,49.2857142857143,53.4090909090909,48.3333333333333,92.0588235294118,4.78260869565217,93.6842105263158,31.9047619047619,51.0416666666667,51.0416666666667
XII_Scripta_Murray,28.25,86.0526315789474,48.8636363636364,65.5,9.58333333333333,53.3333333333333,58.1818181818182,15.5555555555556,65.2631578947368,22.6190476190476,87.3684210526316,59.75,83.25,40.5263157894737,34.7368421052632,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333,9.58333333333333
20_Squares_Seleucid,57.3913043478261,44.2105263157895,57.8947368421053,18.1818181818182,27.8947368421053,66.25,29.4444444444444,56.8421052631579,44,66.8421052631579,57.7777777777778,78.8888888888889,36.25,81.25,36,29.047619047619,71.4285714285714,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053,27.8947368421053
58_Holes_Carnarvon_and_Carter,43.8095238095238,31.9047619047619,45.7142857142857,50,45.5,43.8095238095238,58,61.304347826087,56,58.8235294117647,58.8888888888889,55.2941176470588,37.1428571428571,52.3809523809524,50.5,59.5454545454546,43.6842105263158,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5,45.5
